"","DMU114"
"DMU1",0.999999999999999
"DMU2",1
"DMU3",1
"DMU4",1
"DMU5",1
"DMU6",1
"DMU7",1
"DMU8",1
"DMU9",1
"DMU10",1
"DMU11",1
"DMU12",1
"DMU13",1
"DMU14",1
"DMU15",1
"DMU16",0.999999999999999
"DMU17",1
"DMU18",1
"DMU19",1
"DMU20",1
"DMU21",0.999999999999999
"DMU22",1
"DMU23",1
"DMU24",1
"DMU25",1
"DMU26",1
"DMU27",1
"DMU28",1
"DMU29",1
"DMU30",1
"DMU31",1
"DMU32",1
"DMU33",1
"DMU34",1
"DMU35",0.999999999999999
"DMU36",1
"DMU37",1
"DMU38",1
"DMU39",1
"DMU40",0.999999999999998
"DMU41",1
"DMU42",1
"DMU43",1
"DMU44",1
"DMU45",1
"DMU46",1
"DMU47",1
"DMU48",1
"DMU49",1
"DMU50",1
"DMU51",1
"DMU52",1
"DMU53",1
"DMU54",1
"DMU55",1
"DMU56",1
"DMU57",1
"DMU58",1
"DMU59",1
"DMU60",1
"DMU61",1
"DMU62",1
"DMU63",1
"DMU64",1
"DMU65",1
"DMU66",1
"DMU67",1
"DMU68",0.999999999999999
"DMU69",1
"DMU70",1
"DMU71",1
"DMU72",1
"DMU73",1
"DMU74",1
"DMU75",1
"DMU76",1
"DMU77",1
"DMU78",1
"DMU79",1
"DMU80",1
"DMU81",1
"DMU82",1
"DMU83",1
"DMU84",0.999999999999999
"DMU85",1
"DMU86",0.999999999999999
"DMU87",1
"DMU88",1
"DMU89",0.999999999999999
"DMU90",1.00000000000001
"DMU91",1
"DMU92",1
"DMU93",1
"DMU94",1
"DMU95",0.999999999999999
"DMU96",1
"DMU97",1
"DMU98",1
"DMU99",1
"DMU100",1
"DMU101",1
"DMU102",1
"DMU103",1
"DMU104",1
"DMU105",1
"DMU106",0.999999999999999
"DMU107",1
"DMU108",1
"DMU109",1
"DMU110",1
"DMU111",1
"DMU112",1
"DMU113",1
"DMU115",1
"DMU116",1
"DMU117",1
"DMU118",1
"DMU119",1
"DMU120",1
"DMU121",1
"DMU122",1
"DMU123",1
"DMU124",1
"DMU125",1
"DMU126",0.999999999999998
"DMU127",1
"DMU128",1
"DMU129",1
"DMU130",1
"DMU131",1
"DMU132",1
"DMU133",1
"DMU134",1
"DMU135",1
"DMU136",1
"DMU137",1
"DMU138",1
"DMU139",0.999999999999999
"DMU140",1
"DMU141",1
"DMU142",1
"DMU143",1
"DMU144",1
"DMU145",1
"DMU146",1
"DMU147",1
"DMU148",1
"DMU149",1
"DMU150",1
"DMU151",1
"DMU152",1
"DMU153",1
"DMU154",1
"DMU155",1
"DMU156",1
"DMU157",1
"DMU158",1
"DMU159",1
"DMU160",1
"DMU161",1
"DMU162",0.999999999999999
"DMU163",1
"DMU164",1
"DMU165",1
"DMU166",1
"DMU167",1
"DMU168",0.999999999999999
"DMU169",1
"DMU170",1
"DMU171",1
"DMU172",1
"DMU173",1
"DMU174",1
"DMU175",1
"DMU176",1
"DMU177",1
"DMU178",1
"DMU179",1
"DMU180",1
"DMU181",1
"DMU182",1
"DMU183",1
"DMU184",1
"DMU185",0.999999999999999
"DMU186",1
"DMU187",1
"DMU188",1
"DMU189",0.999999999999998
"DMU190",1
"DMU191",1
"DMU192",1
"DMU193",1
"DMU194",1
"DMU195",1
"DMU196",1
"DMU197",1
"DMU198",1
"DMU199",1
"DMU200",1
